id_pedido,probabilidad_completado,prediccion,estado_predicho,real
50622,0.4,0,CANCELED,COMPLETE
139248,0.6666666666666666,1,COMPLETE,COMPLETE
20398,0.6,1,COMPLETE,CANCELED
129913,0.4,0,CANCELED,COMPLETE
45834,0.6666666666666666,1,COMPLETE,COMPLETE
95686,0.7333333333333333,1,COMPLETE,COMPLETE
61398,0.0,0,CANCELED,CANCELED
76910,0.7333333333333333,1,COMPLETE,COMPLETE
99155,0.5333333333333333,1,COMPLETE,CANCELED
102817,0.6,1,COMPLETE,COMPLETE
104158,0.6666666666666666,1,COMPLETE,COMPLETE
84697,0.6,1,COMPLETE,COMPLETE
39896,0.6666666666666666,1,COMPLETE,COMPLETE
71424,0.6,1,COMPLETE,CANCELED
133861,0.6,1,COMPLETE,CANCELED
135351,0.5333333333333333,1,COMPLETE,CANCELED
50550,0.6,1,COMPLETE,COMPLETE
96,0.8,1,COMPLETE,COMPLETE
69876,0.7333333333333333,1,COMPLETE,COMPLETE
110840,0.5333333333333333,1,COMPLETE,CANCELED
61830,0.6666666666666666,1,COMPLETE,COMPLETE
17395,0.4,0,CANCELED,COMPLETE
28636,0.7333333333333333,1,COMPLETE,CANCELED
88920,0.6666666666666666,1,COMPLETE,COMPLETE
19134,0.8666666666666667,1,COMPLETE,CANCELED
106806,0.6666666666666666,1,COMPLETE,COMPLETE
118495,0.8,1,COMPLETE,CANCELED
57220,0.6666666666666666,1,COMPLETE,COMPLETE
120865,0.7333333333333333,1,COMPLETE,COMPLETE
77784,0.7333333333333333,1,COMPLETE,COMPLETE
3869,0.9333333333333333,1,COMPLETE,COMPLETE
4782,0.8,1,COMPLETE,CANCELED
75516,0.8666666666666667,1,COMPLETE,COMPLETE
15349,0.5333333333333333,1,COMPLETE,CANCELED
138857,0.5333333333333333,1,COMPLETE,CANCELED
102125,0.5333333333333333,1,COMPLETE,COMPLETE
130471,0.4666666666666667,0,CANCELED,COMPLETE
11179,0.4666666666666667,0,CANCELED,CANCELED
91140,0.4,0,CANCELED,COMPLETE
147978,0.4666666666666667,0,CANCELED,CANCELED
19718,0.6666666666666666,1,COMPLETE,CANCELED
26004,0.0,0,CANCELED,CANCELED
120794,0.8,1,COMPLETE,CANCELED
95291,0.7333333333333333,1,COMPLETE,COMPLETE
17547,0.7333333333333333,1,COMPLETE,COMPLETE
8386,0.7333333333333333,1,COMPLETE,COMPLETE
27375,0.4666666666666667,0,CANCELED,COMPLETE
137597,0.7333333333333333,1,COMPLETE,COMPLETE
64196,0.7333333333333333,1,COMPLETE,CANCELED
89844,0.8,1,COMPLETE,COMPLETE
129955,0.7333333333333333,1,COMPLETE,COMPLETE
60233,0.6666666666666666,1,COMPLETE,COMPLETE
140913,0.6666666666666666,1,COMPLETE,CANCELED
42094,0.7333333333333333,1,COMPLETE,COMPLETE
41367,0.6,1,COMPLETE,COMPLETE
134822,0.9333333333333333,1,COMPLETE,COMPLETE
57697,0.6,1,COMPLETE,COMPLETE
106859,0.8666666666666667,1,COMPLETE,COMPLETE
133089,0.0,0,CANCELED,CANCELED
90644,0.8666666666666667,1,COMPLETE,CANCELED
107659,0.6,1,COMPLETE,COMPLETE
93223,0.8,1,COMPLETE,COMPLETE
20568,0.8,1,COMPLETE,COMPLETE
43567,0.8,1,COMPLETE,COMPLETE
104215,0.4666666666666667,0,CANCELED,COMPLETE
146757,0.7333333333333333,1,COMPLETE,COMPLETE
11730,0.4,0,CANCELED,COMPLETE
16333,0.8666666666666667,1,COMPLETE,COMPLETE
127516,0.8666666666666667,1,COMPLETE,COMPLETE
63774,0.7333333333333333,1,COMPLETE,COMPLETE
109652,0.6,1,COMPLETE,CANCELED
57395,0.6666666666666666,1,COMPLETE,CANCELED
100858,0.7333333333333333,1,COMPLETE,CANCELED
113410,0.6,1,COMPLETE,COMPLETE
55877,0.6666666666666666,1,COMPLETE,CANCELED
33124,0.7333333333333333,1,COMPLETE,COMPLETE
98044,0.8666666666666667,1,COMPLETE,COMPLETE
145883,0.6,1,COMPLETE,CANCELED
122774,0.8,1,COMPLETE,CANCELED
136395,0.3333333333333333,0,CANCELED,COMPLETE
22880,0.7333333333333333,1,COMPLETE,COMPLETE
64613,0.6666666666666666,1,COMPLETE,CANCELED
7627,0.7333333333333333,1,COMPLETE,CANCELED
46783,0.4666666666666667,0,CANCELED,COMPLETE
149426,0.8,1,COMPLETE,COMPLETE
93836,0.8,1,COMPLETE,COMPLETE
146020,0.7333333333333333,1,COMPLETE,CANCELED
92483,0.6666666666666666,1,COMPLETE,COMPLETE
135384,0.8666666666666667,1,COMPLETE,CANCELED
28423,0.8,1,COMPLETE,CANCELED
74546,0.8,1,COMPLETE,COMPLETE
42359,0.6666666666666666,1,COMPLETE,COMPLETE
84960,0.5333333333333333,1,COMPLETE,COMPLETE
48153,0.4666666666666667,0,CANCELED,COMPLETE
12442,0.6,1,COMPLETE,CANCELED
12502,0.7333333333333333,1,COMPLETE,COMPLETE
13944,0.6,1,COMPLETE,CANCELED
68428,0.6,1,COMPLETE,COMPLETE
32450,0.8,1,COMPLETE,COMPLETE
109794,0.5333333333333333,1,COMPLETE,COMPLETE
51479,0.5333333333333333,1,COMPLETE,CANCELED
12920,0.7333333333333333,1,COMPLETE,CANCELED
55153,0.7333333333333333,1,COMPLETE,COMPLETE
131949,0.8666666666666667,1,COMPLETE,COMPLETE
72574,0.4666666666666667,0,CANCELED,CANCELED
92690,0.6,1,COMPLETE,COMPLETE
75274,0.6666666666666666,1,COMPLETE,COMPLETE
8168,0.7333333333333333,1,COMPLETE,COMPLETE
23394,0.8,1,COMPLETE,COMPLETE
125408,0.8,1,COMPLETE,CANCELED
41767,0.9333333333333333,1,COMPLETE,CANCELED
67767,0.7333333333333333,1,COMPLETE,CANCELED
111490,0.8,1,COMPLETE,COMPLETE
59272,0.6,1,COMPLETE,CANCELED
141070,0.8,1,COMPLETE,CANCELED
28762,0.6666666666666666,1,COMPLETE,CANCELED
80254,0.6,1,COMPLETE,CANCELED
111081,0.7333333333333333,1,COMPLETE,COMPLETE
122970,0.6666666666666666,1,COMPLETE,CANCELED
43428,0.13333333333333333,0,CANCELED,CANCELED
142400,0.9333333333333333,1,COMPLETE,CANCELED
47316,0.6666666666666666,1,COMPLETE,COMPLETE
47437,0.6666666666666666,1,COMPLETE,COMPLETE
59375,0.7333333333333333,1,COMPLETE,CANCELED
94855,0.5333333333333333,1,COMPLETE,CANCELED
145749,0.6666666666666666,1,COMPLETE,CANCELED
50795,0.8,1,COMPLETE,COMPLETE
103056,0.5333333333333333,1,COMPLETE,CANCELED
125460,0.8,1,COMPLETE,COMPLETE
144200,0.6666666666666666,1,COMPLETE,CANCELED
130000,0.7333333333333333,1,COMPLETE,COMPLETE
34220,0.7333333333333333,1,COMPLETE,COMPLETE
91386,0.8,1,COMPLETE,COMPLETE
46404,0.4,0,CANCELED,CANCELED
54472,0.6666666666666666,1,COMPLETE,COMPLETE
40197,0.7333333333333333,1,COMPLETE,COMPLETE
108685,0.4666666666666667,0,CANCELED,COMPLETE
131316,0.6,1,COMPLETE,COMPLETE
70548,0.7333333333333333,1,COMPLETE,COMPLETE
125958,0.8,1,COMPLETE,COMPLETE
2911,0.7333333333333333,1,COMPLETE,COMPLETE
13932,0.7333333333333333,1,COMPLETE,CANCELED
22438,0.5333333333333333,1,COMPLETE,COMPLETE
140141,0.8,1,COMPLETE,COMPLETE
65630,0.7333333333333333,1,COMPLETE,COMPLETE
141715,0.4,0,CANCELED,CANCELED
149303,0.6666666666666666,1,COMPLETE,COMPLETE
21901,0.6,1,COMPLETE,CANCELED
35001,0.6666666666666666,1,COMPLETE,COMPLETE
77630,0.5333333333333333,1,COMPLETE,COMPLETE
114695,0.5333333333333333,1,COMPLETE,COMPLETE
140450,0.8,1,COMPLETE,COMPLETE
70092,0.5333333333333333,1,COMPLETE,COMPLETE
94735,0.7333333333333333,1,COMPLETE,COMPLETE
60746,0.7333333333333333,1,COMPLETE,CANCELED
96957,0.6,1,COMPLETE,COMPLETE
18591,0.7333333333333333,1,COMPLETE,COMPLETE
66249,0.7333333333333333,1,COMPLETE,COMPLETE
82111,0.8666666666666667,1,COMPLETE,COMPLETE
128746,0.8,1,COMPLETE,COMPLETE
22990,0.6,1,COMPLETE,COMPLETE
117150,0.6,1,COMPLETE,CANCELED
98008,0.4666666666666667,0,CANCELED,CANCELED
11281,0.8,1,COMPLETE,COMPLETE
110636,0.7333333333333333,1,COMPLETE,CANCELED
56956,0.8666666666666667,1,COMPLETE,COMPLETE
52771,0.5333333333333333,1,COMPLETE,CANCELED
80282,0.6666666666666666,1,COMPLETE,CANCELED
28901,0.5333333333333333,1,COMPLETE,CANCELED
127107,0.8,1,COMPLETE,COMPLETE
75332,0.7333333333333333,1,COMPLETE,COMPLETE
62485,0.8,1,COMPLETE,COMPLETE
32565,0.8,1,COMPLETE,COMPLETE
140428,0.6666666666666666,1,COMPLETE,COMPLETE
84282,0.6,1,COMPLETE,COMPLETE
100002,0.6666666666666666,1,COMPLETE,CANCELED
24585,0.6666666666666666,1,COMPLETE,COMPLETE
66041,0.8,1,COMPLETE,COMPLETE
14968,0.8,1,COMPLETE,CANCELED
148289,0.6666666666666666,1,COMPLETE,COMPLETE
90597,0.8666666666666667,1,COMPLETE,CANCELED
105146,0.7333333333333333,1,COMPLETE,CANCELED
24785,0.5333333333333333,1,COMPLETE,COMPLETE
40107,0.7333333333333333,1,COMPLETE,COMPLETE
114554,0.6666666666666666,1,COMPLETE,COMPLETE
98309,0.4666666666666667,0,CANCELED,CANCELED
83714,0.8,1,COMPLETE,CANCELED
5952,0.8,1,COMPLETE,COMPLETE
108257,0.6666666666666666,1,COMPLETE,COMPLETE
17853,0.6,1,COMPLETE,CANCELED
80416,0.5333333333333333,1,COMPLETE,COMPLETE
76660,0.7333333333333333,1,COMPLETE,COMPLETE
14563,0.6,1,COMPLETE,CANCELED
11649,0.6666666666666666,1,COMPLETE,COMPLETE
9804,0.8666666666666667,1,COMPLETE,CANCELED
128126,0.8666666666666667,1,COMPLETE,CANCELED
74720,0.5333333333333333,1,COMPLETE,COMPLETE
36312,0.8666666666666667,1,COMPLETE,COMPLETE
92238,0.7333333333333333,1,COMPLETE,COMPLETE
118226,0.8666666666666667,1,COMPLETE,CANCELED
146048,0.6666666666666666,1,COMPLETE,CANCELED
82692,0.6,1,COMPLETE,COMPLETE
68729,0.5333333333333333,1,COMPLETE,CANCELED
81380,0.5333333333333333,1,COMPLETE,COMPLETE
96511,0.6,1,COMPLETE,CANCELED
22408,0.7333333333333333,1,COMPLETE,COMPLETE
142293,0.6666666666666666,1,COMPLETE,COMPLETE
102783,0.6,1,COMPLETE,COMPLETE
96332,0.8666666666666667,1,COMPLETE,COMPLETE
83336,0.5333333333333333,1,COMPLETE,COMPLETE
122295,0.8,1,COMPLETE,CANCELED
97476,0.9333333333333333,1,COMPLETE,CANCELED
111875,0.6,1,COMPLETE,COMPLETE
77061,0.6666666666666666,1,COMPLETE,COMPLETE
103043,0.7333333333333333,1,COMPLETE,CANCELED
121055,0.9333333333333333,1,COMPLETE,COMPLETE
10940,0.6666666666666666,1,COMPLETE,COMPLETE
99877,0.6666666666666666,1,COMPLETE,COMPLETE
17509,0.5333333333333333,1,COMPLETE,COMPLETE
72581,0.6666666666666666,1,COMPLETE,CANCELED
150161,0.7333333333333333,1,COMPLETE,COMPLETE
145131,0.8,1,COMPLETE,CANCELED
56903,0.6666666666666666,1,COMPLETE,COMPLETE
124192,0.8666666666666667,1,COMPLETE,COMPLETE
23827,0.8,1,COMPLETE,COMPLETE
79621,0.7333333333333333,1,COMPLETE,COMPLETE
121611,0.6,1,COMPLETE,COMPLETE
119006,0.6666666666666666,1,COMPLETE,COMPLETE
86593,0.6,1,COMPLETE,CANCELED
90114,0.6666666666666666,1,COMPLETE,COMPLETE
100376,0.7333333333333333,1,COMPLETE,COMPLETE
125135,0.6666666666666666,1,COMPLETE,COMPLETE
29596,0.8666666666666667,1,COMPLETE,CANCELED
104585,0.8,1,COMPLETE,CANCELED
136100,0.6666666666666666,1,COMPLETE,COMPLETE
54514,0.7333333333333333,1,COMPLETE,COMPLETE
81719,0.6666666666666666,1,COMPLETE,COMPLETE
80880,0.7333333333333333,1,COMPLETE,COMPLETE
84198,0.6,1,COMPLETE,COMPLETE
57831,0.6666666666666666,1,COMPLETE,COMPLETE
114726,0.7333333333333333,1,COMPLETE,CANCELED
121537,0.8666666666666667,1,COMPLETE,COMPLETE
18678,0.4,0,CANCELED,COMPLETE
141272,0.0,0,CANCELED,CANCELED
130976,0.0,0,CANCELED,CANCELED
107519,0.8,1,COMPLETE,COMPLETE
12628,0.7333333333333333,1,COMPLETE,CANCELED
72851,0.6,1,COMPLETE,COMPLETE
20834,0.5333333333333333,1,COMPLETE,CANCELED
95597,0.6,1,COMPLETE,CANCELED
18555,0.4,0,CANCELED,COMPLETE
113380,0.9333333333333333,1,COMPLETE,COMPLETE
94264,0.4666666666666667,0,CANCELED,COMPLETE
149980,0.6666666666666666,1,COMPLETE,COMPLETE
35050,0.5333333333333333,1,COMPLETE,COMPLETE
107797,0.8,1,COMPLETE,COMPLETE
4026,0.0,0,CANCELED,CANCELED
7138,0.6666666666666666,1,COMPLETE,COMPLETE
82811,0.8666666666666667,1,COMPLETE,COMPLETE
86500,0.6,1,COMPLETE,COMPLETE
115740,0.6,1,COMPLETE,COMPLETE
89453,0.5333333333333333,1,COMPLETE,COMPLETE
70748,0.6666666666666666,1,COMPLETE,COMPLETE
91874,0.7333333333333333,1,COMPLETE,COMPLETE
53085,0.8,1,COMPLETE,CANCELED
107513,0.6,1,COMPLETE,COMPLETE
90795,0.8,1,COMPLETE,COMPLETE
14209,0.0,0,CANCELED,CANCELED
138320,0.4,0,CANCELED,COMPLETE
45355,0.8,1,COMPLETE,COMPLETE
88568,0.3333333333333333,0,CANCELED,COMPLETE
65293,0.6666666666666666,1,COMPLETE,CANCELED
52213,1.0,1,COMPLETE,COMPLETE
61052,0.5333333333333333,1,COMPLETE,COMPLETE
95298,0.6,1,COMPLETE,CANCELED
40270,0.5333333333333333,1,COMPLETE,COMPLETE
132831,0.5333333333333333,1,COMPLETE,COMPLETE
119044,0.8,1,COMPLETE,COMPLETE
60153,0.6,1,COMPLETE,COMPLETE
38341,0.6666666666666666,1,COMPLETE,COMPLETE
131394,0.7333333333333333,1,COMPLETE,COMPLETE
54525,0.7333333333333333,1,COMPLETE,COMPLETE
147378,0.8666666666666667,1,COMPLETE,COMPLETE
75237,0.8,1,COMPLETE,COMPLETE
62344,0.7333333333333333,1,COMPLETE,COMPLETE
64262,0.7333333333333333,1,COMPLETE,COMPLETE
68661,0.7333333333333333,1,COMPLETE,COMPLETE
75576,0.6,1,COMPLETE,COMPLETE
111036,0.6666666666666666,1,COMPLETE,COMPLETE
73781,0.6,1,COMPLETE,COMPLETE
93175,0.6,1,COMPLETE,COMPLETE
34019,0.7333333333333333,1,COMPLETE,COMPLETE
59533,0.6666666666666666,1,COMPLETE,CANCELED
102848,0.4,0,CANCELED,CANCELED
21593,0.7333333333333333,1,COMPLETE,CANCELED
109446,0.8666666666666667,1,COMPLETE,CANCELED
35756,0.8,1,COMPLETE,COMPLETE
98973,0.6,1,COMPLETE,COMPLETE
9765,0.6,1,COMPLETE,CANCELED
92292,0.6,1,COMPLETE,COMPLETE
114686,0.9333333333333333,1,COMPLETE,COMPLETE
116994,0.7333333333333333,1,COMPLETE,CANCELED
63876,0.6,1,COMPLETE,COMPLETE
48373,0.4666666666666667,0,CANCELED,COMPLETE
76804,0.7333333333333333,1,COMPLETE,COMPLETE
90357,0.8666666666666667,1,COMPLETE,COMPLETE
90421,0.8,1,COMPLETE,COMPLETE
51309,0.6,1,COMPLETE,COMPLETE
125716,0.6,1,COMPLETE,COMPLETE
124660,0.8,1,COMPLETE,COMPLETE
133535,0.0,0,CANCELED,CANCELED
91653,0.6666666666666666,1,COMPLETE,COMPLETE
74700,0.7333333333333333,1,COMPLETE,COMPLETE
49172,0.6,1,COMPLETE,COMPLETE
1582,0.6666666666666666,1,COMPLETE,COMPLETE
90889,0.6,1,COMPLETE,CANCELED
56685,0.4666666666666667,0,CANCELED,CANCELED
14545,0.4666666666666667,0,CANCELED,CANCELED
83154,0.5333333333333333,1,COMPLETE,COMPLETE
124553,0.7333333333333333,1,COMPLETE,COMPLETE
72746,0.6666666666666666,1,COMPLETE,COMPLETE
39764,0.6,1,COMPLETE,COMPLETE
83181,0.8666666666666667,1,COMPLETE,COMPLETE
91634,0.6,1,COMPLETE,COMPLETE
58790,0.7333333333333333,1,COMPLETE,COMPLETE
44454,0.5333333333333333,1,COMPLETE,COMPLETE
130119,0.9333333333333333,1,COMPLETE,COMPLETE
136880,0.7333333333333333,1,COMPLETE,COMPLETE
143290,0.6666666666666666,1,COMPLETE,CANCELED
107820,0.6,1,COMPLETE,COMPLETE
63653,0.5333333333333333,1,COMPLETE,COMPLETE
138678,0.7333333333333333,1,COMPLETE,COMPLETE
15232,0.7333333333333333,1,COMPLETE,CANCELED
89713,0.5333333333333333,1,COMPLETE,COMPLETE
124712,0.4666666666666667,0,CANCELED,COMPLETE
110579,0.8,1,COMPLETE,CANCELED
75072,0.6,1,COMPLETE,COMPLETE
15085,0.8666666666666667,1,COMPLETE,CANCELED
32846,0.9333333333333333,1,COMPLETE,COMPLETE
42383,0.8,1,COMPLETE,CANCELED
84989,0.8,1,COMPLETE,CANCELED
103021,0.7333333333333333,1,COMPLETE,CANCELED
26121,0.6666666666666666,1,COMPLETE,COMPLETE
77608,0.6666666666666666,1,COMPLETE,COMPLETE
57090,0.8,1,COMPLETE,COMPLETE
30237,0.4666666666666667,0,CANCELED,COMPLETE
85957,0.6,1,COMPLETE,COMPLETE
84513,0.9333333333333333,1,COMPLETE,COMPLETE
71080,0.7333333333333333,1,COMPLETE,COMPLETE
127515,0.6,1,COMPLETE,COMPLETE
81297,0.6,1,COMPLETE,COMPLETE
72856,0.7333333333333333,1,COMPLETE,COMPLETE
71884,0.8666666666666667,1,COMPLETE,COMPLETE
82590,0.7333333333333333,1,COMPLETE,COMPLETE
94867,0.7333333333333333,1,COMPLETE,COMPLETE
86205,0.6666666666666666,1,COMPLETE,COMPLETE
85516,0.8,1,COMPLETE,COMPLETE
47164,0.6,1,COMPLETE,COMPLETE
58833,0.7333333333333333,1,COMPLETE,CANCELED
108396,0.6,1,COMPLETE,COMPLETE
25571,0.0,0,CANCELED,CANCELED
144811,0.8666666666666667,1,COMPLETE,CANCELED
133208,0.7333333333333333,1,COMPLETE,COMPLETE
82485,0.6666666666666666,1,COMPLETE,COMPLETE
72721,0.5333333333333333,1,COMPLETE,CANCELED
41381,0.7333333333333333,1,COMPLETE,CANCELED
27601,0.8,1,COMPLETE,CANCELED
147765,0.8666666666666667,1,COMPLETE,COMPLETE
41427,0.7333333333333333,1,COMPLETE,COMPLETE
60636,0.5333333333333333,1,COMPLETE,CANCELED
76138,0.8,1,COMPLETE,COMPLETE
60046,0.7333333333333333,1,COMPLETE,CANCELED
38851,0.8,1,COMPLETE,COMPLETE
75694,0.7333333333333333,1,COMPLETE,COMPLETE
75537,0.8666666666666667,1,COMPLETE,COMPLETE
83055,0.6666666666666666,1,COMPLETE,COMPLETE
29111,0.7333333333333333,1,COMPLETE,CANCELED
42783,0.7333333333333333,1,COMPLETE,COMPLETE
32791,0.6,1,COMPLETE,COMPLETE
32884,0.6,1,COMPLETE,COMPLETE
98673,0.7333333333333333,1,COMPLETE,CANCELED
101454,0.6666666666666666,1,COMPLETE,CANCELED
34901,0.5333333333333333,1,COMPLETE,COMPLETE
107395,0.4666666666666667,0,CANCELED,COMPLETE
38963,0.7333333333333333,1,COMPLETE,COMPLETE
109499,0.6,1,COMPLETE,COMPLETE
72847,0.8666666666666667,1,COMPLETE,COMPLETE
129895,0.8666666666666667,1,COMPLETE,COMPLETE
141142,0.5333333333333333,1,COMPLETE,CANCELED
5222,0.5333333333333333,1,COMPLETE,COMPLETE
143497,0.7333333333333333,1,COMPLETE,CANCELED
23434,0.5333333333333333,1,COMPLETE,COMPLETE
126835,0.7333333333333333,1,COMPLETE,CANCELED
28350,0.5333333333333333,1,COMPLETE,CANCELED
3328,0.4666666666666667,0,CANCELED,COMPLETE
78076,0.6666666666666666,1,COMPLETE,COMPLETE
31175,0.6666666666666666,1,COMPLETE,COMPLETE
86955,0.6666666666666666,1,COMPLETE,CANCELED
40852,0.6666666666666666,1,COMPLETE,COMPLETE
49435,0.8,1,COMPLETE,COMPLETE
39631,0.6,1,COMPLETE,COMPLETE
27226,0.5333333333333333,1,COMPLETE,COMPLETE
52567,0.8,1,COMPLETE,CANCELED
143415,0.4666666666666667,0,CANCELED,CANCELED
123589,0.7333333333333333,1,COMPLETE,COMPLETE
23528,0.6666666666666666,1,COMPLETE,COMPLETE
143231,0.4,0,CANCELED,COMPLETE
21855,0.7333333333333333,1,COMPLETE,CANCELED
90895,0.06666666666666667,0,CANCELED,CANCELED
138869,0.6666666666666666,1,COMPLETE,COMPLETE
30578,0.8,1,COMPLETE,COMPLETE
115734,0.7333333333333333,1,COMPLETE,CANCELED
46930,0.9333333333333333,1,COMPLETE,COMPLETE
62325,0.5333333333333333,1,COMPLETE,CANCELED
104644,0.4666666666666667,0,CANCELED,CANCELED
108126,0.6666666666666666,1,COMPLETE,CANCELED
25430,0.7333333333333333,1,COMPLETE,CANCELED
27789,0.8,1,COMPLETE,CANCELED
107640,0.6666666666666666,1,COMPLETE,COMPLETE
113844,0.6666666666666666,1,COMPLETE,CANCELED
63062,0.7333333333333333,1,COMPLETE,COMPLETE
40130,0.7333333333333333,1,COMPLETE,CANCELED
23387,0.6666666666666666,1,COMPLETE,COMPLETE
85728,0.4666666666666667,0,CANCELED,COMPLETE
107855,0.6,1,COMPLETE,COMPLETE
41737,0.6,1,COMPLETE,COMPLETE
80183,0.7333333333333333,1,COMPLETE,COMPLETE
119541,0.4666666666666667,0,CANCELED,COMPLETE
34375,0.5333333333333333,1,COMPLETE,COMPLETE
121280,0.5333333333333333,1,COMPLETE,COMPLETE
78609,0.6666666666666666,1,COMPLETE,COMPLETE
122344,0.7333333333333333,1,COMPLETE,COMPLETE
95915,0.6666666666666666,1,COMPLETE,COMPLETE
131959,0.8,1,COMPLETE,COMPLETE
98314,0.6666666666666666,1,COMPLETE,COMPLETE
43681,0.4666666666666667,0,CANCELED,COMPLETE
51677,0.6,1,COMPLETE,COMPLETE
24012,0.6666666666666666,1,COMPLETE,COMPLETE
95807,0.6,1,COMPLETE,COMPLETE
139419,0.6,1,COMPLETE,CANCELED
127719,0.6,1,COMPLETE,CANCELED
90093,0.6,1,COMPLETE,CANCELED
45380,0.8,1,COMPLETE,CANCELED
63285,0.5333333333333333,1,COMPLETE,COMPLETE
140541,0.6666666666666666,1,COMPLETE,COMPLETE
87149,0.4666666666666667,0,CANCELED,COMPLETE
126270,0.5333333333333333,1,COMPLETE,CANCELED
132153,0.8,1,COMPLETE,CANCELED
80214,0.5333333333333333,1,COMPLETE,COMPLETE
106328,0.9333333333333333,1,COMPLETE,COMPLETE
97604,0.8666666666666667,1,COMPLETE,COMPLETE
5151,0.6,1,COMPLETE,COMPLETE
89902,0.8,1,COMPLETE,CANCELED
47172,0.6666666666666666,1,COMPLETE,COMPLETE
130984,0.8,1,COMPLETE,CANCELED
140069,0.6666666666666666,1,COMPLETE,COMPLETE
